TileSize	MatrixSize	Instructions	Cycles	IPC	L1-dcache-loads	L1-dcache-load-misses	L1-miss-rate-percent	Branch-instructions	Branch-misses	Branch-miss-rate-percent	Cache-references	Cache-misses	Cache-miss-rate-percent	Context-switches	TimeElapsedSeconds
16	400	528493924	141285507	3.740610	140574046	1371733	0.98	78107432	313388	0.40	362100	65067	17.97	0	0.039140000
16	512	1095526176	304202934	3.601300	290854371	60329437	20.74	160955980	621662	0.39	8989201	192390	2.14	0	0.071320000
16	800	4122880849	1055415162	3.906407	1091824552	10638528	0.97	601192463	2372704	0.39	4355726	622367	14.29	0	0.255920000
16	1024	8603541374	2424576460	3.548472	2276078516	484694014	21.30	1250893826	4782186	0.38	73977486	6992759	9.45	0	0.589520000
16	1200	13810659056	3696615315	3.736028	3651656978	36310933	0.99	2004894419	7799334	0.39	14417842	5071232	35.17	0	0.884350000
16	1500	26903509101	7655465202	3.514288	7107583879	74115208	1.04	3898645645	15133827	0.39	29223741	14605567	49.98	0	1.719350000
16	1800	46409085782	12821188742	3.619718	12253861102	122351547	1.00	6717259371	26557345	0.40	48971215	31775636	64.89	0	2.932900000
16	2000	63566137718	17668066648	3.597798	16786066042	165905124	0.99	9194897531	36105042	0.39	68478436	52736895	77.01	0	4.040450000
16	2048	68239736074	22734507954	3.001593	18019420364	3688302198	20.47	9869688024	37860535	0.38	541367262	271856665	50.22	0	5.092400000
16	2400	109683714165	30858908872	3.554361	28955143680	286587156	0.99	15851574693	63017827	0.40	136533718	104999588	76.90	0	7.017450000
16	2700	156073383864	45848830214	3.404086	41189438281	428077443	1.04	22544694322	87996441	0.39	175109650	156911286	89.61	0	10.257580000
