TileSize	MatrixSize	Instructions	Cycles	IPC	L1-dcache-loads	L1-dcache-load-misses	L1-miss-rate-percent	Branch-instructions	Branch-misses	Branch-miss-rate-percent	Cache-references	Cache-misses	Cache-miss-rate-percent	Context-switches	TimeElapsedSeconds
6	1501	33163156018	9773233633	3.393263	7839076042	275709562	3.52	4806143887	3327273	0.07	72871171	27539818	37.79	0	2.191500000
6	1801	57185669776	18485729484	3.093504	13510939757	472137163	3.49	8279616903	5331917	0.06	125885968	70642058	56.12	0	4.129730000
6	2001	78334921104	25976479516	3.015610	18506058880	647732244	3.50	11336359453	8104095	0.07	172006512	110512783	64.25	0	5.803630000
6	2049	84093588129	26009533043	3.233183	19865412918	755446231	3.80	12168492355	9144545	0.08	185089706	120704882	65.21	0	5.812060000
6	2401	135197094829	43130758168	3.134587	31922849583	1141766871	3.58	19550900329	16372666	0.08	298049214	224869323	75.45	0	9.632750000
6	2701	192330005757	66608241800	2.887481	45403895298	1609263322	3.54	27801710344	17225163	0.06	426414447	339563941	79.63	0	14.867170000
6	3001	263643718241	91404966681	2.884348	62229004193	2222971362	3.57	38097968539	26416890	0.07	583570208	487426082	83.52	0	20.416550000
7	256	167065743	51908686	3.218454	40977312	1034946	2.53	24985302	393443	1.57	40010	13771	34.42	0	0.013470000
7	300	264531091	81444283	3.248001	64789248	1470467	2.27	39344424	650775	1.65	54363	18154	33.39	0	0.020440000
7	400	618270964	186196210	3.320535	150579552	3969294	2.64	91220383	1502190	1.65	651404	64196	9.86	0	0.048860000
7	512	1282590873	388205753	3.303895	311686883	13511660	4.34	188284338	3149737	1.67	6399238	83017	1.30	0	0.089710000
7	800	4828815000	1391106528	3.471204	1170342881	32762519	2.80	704355477	11940626	1.70	9554062	192527	2.02	0	0.321350000
7	1024	10079957794	3031445001	3.325133	2440242768	127828570	5.24	1466670217	24698751	1.68	61323217	1153542	1.88	0	0.682270000
7	1200	16179405409	4795910347	3.373584	3914945856	112845080	2.88	2351112960	38779393	1.65	32051368	2872823	8.96	0	1.076020000
7	1500	31521303690	10304659662	3.058937	7620985014	223845693	2.94	4573566413	67809687	1.48	63014965	24789166	39.34	0	2.305630000
7	1800	54378649435	18233638464	2.982326	13140053093	383926219	2.92	7882036527	113324129	1.44	107989685	60241185	55.78	0	4.079030000
7	2000	74481585101	25414297447	2.930696	17998682427	523095761	2.91	10790528569	154583719	1.43	148617431	94915242	63.87	0	5.683910000
7	2048	79970862374	35647820876	2.243359	19322796962	966595379	5.00	11584520667	172861574	1.49	458784238	322629245	70.32	0	7.960460000
7	2400	128523600447	44622923581	2.880215	31047817988	926280313	2.98	18605699566	265226201	1.43	298112898	215467044	72.28	0	9.964880000
7	2700	182887493745	64046193379	2.855556	44168502732	1312369209	2.97	26464400174	359879914	1.36	367311732	292381315	79.60	0	14.312920000
7	3000	250756168168	87360385019	2.870365	60545868341	1789307886	2.96	36272825742	517765697	1.43	512129261	423748673	82.74	0	19.499420000
7	257	168755272	53804116	3.136475	41417994	732108	1.77	25235713	407987	1.62	35966	12891	35.84	0	0.015770000
7	301	266872839	81692901	3.266781	65388895	1418546	2.17	39689954	661577	1.67	54464	18277	33.56	0	0.020230000
7	401	622402721	186094283	3.344556	151633761	4006190	2.64	91826875	1516371	1.65	684318	51664	7.55	0	0.045540000
7	513	1289314232	381085393	3.383269	313400212	10189360	3.25	189267774	3125670	1.65	2468559	96516	3.91	0	0.089350000
7	801	4845080857	1388483270	3.489477	1174481425	34070453	2.90	706723300	11934380	1.69	9591628	275045	2.87	0	0.320950000
7	1025	10106517894	3035973571	3.328922	2446996704	82601168	3.38	1470530360	24880531	1.69	19979121	696185	3.48	0	0.682430000
7	1201	16215809461	4849200036	3.344017	3924200455	114565467	2.92	2356398536	39028265	1.66	32086735	3139613	9.78	0	1.088810000
7	1501	31578073881	10536480531	2.997023	7635409485	224612744	2.94	4581799362	65103215	1.42	62613297	23356823	37.30	0	2.357420000
7	1801	54460292514	19557510135	2.784623	13160790604	384713917	2.92	7893867921	105807056	1.34	108119566	60655639	56.10	0	4.372060000
7	2001	74582273485	27349403602	2.727016	18024259949	523963095	2.91	10805114570	144873556	1.34	148157825	94865549	64.03	0	6.112860000
7	2049	80076434931	27535075074	2.908161	19349612295	667572928	3.45	11599812353	150430790	1.30	159478912	104295919	65.40	0	6.149090000
7	2401	128668439304	45736415717	2.813260	31084606700	931737466	3.00	18626672562	240006363	1.29	256536184	191517601	74.66	0	10.223200000
7	2701	183070712704	67680579931	2.704922	44215029220	1311709409	2.97	26490919541	349294185	1.32	367787306	293975798	79.93	0	15.126540000
7	3001	250982281363	92702666472	2.707390	60603283147	1805655647	2.98	36305549925	473941975	1.31	504707659	419906380	83.20	0	20.709740000
8	256	161011479	48314179	3.332593	40241236	974373	2.42	24117182	315639	1.31	41136	15109	36.73	0	0.012990000
8	300	256212699	75055707	3.413634	63777251	1427865	2.24	38151742	486846	1.28	59331	20622	34.76	0	0.022320000
8	400	594612634	170998447	3.477298	147700974	3198170	2.17	87828085	1164449	1.33	693042	69928	10.09	0	0.044790000
8	512	1234175503	357095641	3.456148	305799723	12758998	4.17	181340788	2392022	1.32	5842382	107959	1.85	0	0.086520000
8	800	4651730018	1257935591	3.697908	1148832664	27407939	2.39	678950525	9081673	1.34	8356582	198371	2.37	0	0.291360000
8	1024	9712571696	2797637902	3.471704	2395628575	117824507	4.92	1413959725	18922330	1.34	58356710	895720	1.53	0	0.634740000
8	1200	15595410636	4537185961	3.437243	3844048226	93541163	2.43	2267316842	30525051	1.35	28126813	2892200	10.28	0	1.018420000
8	1500	30400953063	9437788435	3.221195	7484910180	195377423	2.61	4412825324	59087511	1.34	56109930	20647131	36.80	0	2.116220000
8	1800	52407771998	17531028794	2.989429	12900781983	319639137	2.48	7599232972	102822537	1.35	94604446	53875814	56.95	0	3.919000000
8	2000	71828467645	24207551267	2.967193	17676737087	437264869	2.47	10409787201	140957379	1.35	130495613	83578984	64.05	0	5.415360000
8	2048	77111331687	33904495229	2.274369	18975771810	982816775	5.18	11174166574	150762089	1.35	533343386	357829697	67.09	0	7.573540000
8	2400	123960842101	42885126282	2.890532	30494208459	758843354	2.49	17950889322	243560875	1.36	259313971	188298824	72.61	0	9.576050000
8	2700	176439273220	59432792320	2.968719	43385868751	1140765300	2.63	25539064545	341928329	1.34	325576805	258555475	79.41	0	13.267970000
8	3000	241802182749	84307935688	2.868083	59459326900	1487951575	2.50	34987847639	475507591	1.36	452607416	376153434	83.11	0	18.834940000
8	257	163854966	49045199	3.340897	40819905	709440	1.74	24533689	317475	1.29	40383	13890	34.40	0	0.011880000
8	301	258509308	75829552	3.409084	64372679	1274522	1.98	38490453	504088	1.31	50556	18678	36.95	0	0.023040000
